[width=0.5] parameter CRNN: 2,476,542  + AuxDecoder (training-only): 1,893,472  device: cuda
[width=0.5] epoch 37/120  lr=8.21e-04  ctc_loss=0.0124  aux_loss=1.0383  val_cer=0.0492  val_wer=0.1081  val_exact=0.7125  (1819s elapsed)
[width=0.5] epoch 38/120  lr=8.10e-04  ctc_loss=0.0086  aux_loss=1.0323  val_cer=0.0521  val_wer=0.1195  val_exact=0.6792  (1864s elapsed)
[width=0.5] epoch 39/120  lr=7.99e-04  ctc_loss=0.0025  aux_loss=1.0265  val_cer=0.0513  val_wer=0.1175  val_exact=0.7000  (1908s elapsed)
[width=0.5] epoch 40/120  lr=7.88e-04  ctc_loss=0.0023  aux_loss=1.0193  val_cer=0.0430  val_wer=0.0980  val_exact=0.7250  (1953s elapsed)
[width=0.5] epoch 41/120  lr=7.77e-04  ctc_loss=0.0019  aux_loss=1.0133  val_cer=0.0521  val_wer=0.1186  val_exact=0.6750  (1998s elapsed)
[width=0.5] epoch 42/120  lr=7.66e-04  ctc_loss=0.0028  aux_loss=1.0149  val_cer=0.0563  val_wer=0.1352  val_exact=0.6458  (2048s elapsed)
[width=0.5] epoch 43/120  lr=7.54e-04  ctc_loss=0.0046  aux_loss=1.0188  val_cer=0.0564  val_wer=0.1268  val_exact=0.6750  (2100s elapsed)
[width=0.5] epoch 44/120  lr=7.42e-04  ctc_loss=0.0024  aux_loss=1.0172  val_cer=0.0432  val_wer=0.1035  val_exact=0.6875  (2155s elapsed)
[width=0.5] epoch 45/120  lr=7.30e-04  ctc_loss=0.0025  aux_loss=1.0058  val_cer=0.0430  val_wer=0.1002  val_exact=0.7167  (2208s elapsed)
[width=0.5] epoch 46/120  lr=7.18e-04  ctc_loss=0.0015  aux_loss=1.0061  val_cer=0.0484  val_wer=0.1094  val_exact=0.6917  (2264s elapsed)
[width=0.5] epoch 47/120  lr=7.05e-04  ctc_loss=0.0013  aux_loss=0.9987  val_cer=0.0419  val_wer=0.0952  val_exact=0.7208  (2314s elapsed)
[width=0.5] epoch 48/120  lr=6.93e-04  ctc_loss=0.0037  aux_loss=1.0065  val_cer=0.0430  val_wer=0.0985  val_exact=0.7292  (2365s elapsed)
[width=0.5] epoch 49/120  lr=6.80e-04  ctc_loss=0.0016  aux_loss=0.9989  val_cer=0.0533  val_wer=0.1179  val_exact=0.6875  (2414s elapsed)
[width=0.5] epoch 50/120  lr=6.67e-04  ctc_loss=0.0014  aux_loss=0.9936  val_cer=0.0429  val_wer=0.1030  val_exact=0.7000  (2466s elapsed)
[width=0.5] epoch 51/120  lr=6.55e-04  ctc_loss=0.0013  aux_loss=0.9908  val_cer=0.0497  val_wer=0.1124  val_exact=0.6792  (2516s elapsed)
[width=0.5] epoch 52/120  lr=6.41e-04  ctc_loss=0.0012  aux_loss=0.9953  val_cer=0.0432  val_wer=0.1014  val_exact=0.6958  (2567s elapsed)
[width=0.5] epoch 53/120  lr=6.28e-04  ctc_loss=0.0017  aux_loss=0.9969  val_cer=0.0466  val_wer=0.1067  val_exact=0.6917  (2618s elapsed)
[width=0.5] epoch 54/120  lr=6.15e-04  ctc_loss=0.0111  aux_loss=0.9960  val_cer=0.0589  val_wer=0.1298  val_exact=0.6625  (2669s elapsed)
