filename,title,era,source,url,fetched_at,word_count
sejarah_nusantara_pada_era_kerajaan_hindu_buddha.txt,Sejarah Nusantara Pada Era Kerajaan Hindu Buddha,hindu_buddha,id.wikipedia.org,https://id.wikipedia.org/wiki/sejarah_nusantara_pada_era_kerajaan_hindu_buddha,2026-08-31T19:08:26,1945
sejarah_nusantara_pada_era_kerajaan_islam.txt,Sejarah Nusantara Pada Era Kerajaan Islam,kerajaan_islam,id.wikipedia.org,https://id.wikipedia.org/wiki/sejarah_nusantara_pada_era_kerajaan_islam,2026-08-31T19:10:18,1481
singasari.txt,Singasari,hindu_buddha,id.wikipedia.org,https://id.wikipedia.org/wiki/singasari,2026-08-31T19:15:18,2683
sriwijaya.txt,Sriwijaya,hindu_buddha,id.wikipedia.org,https://id.wikipedia.org/wiki/sriwijaya,2026-08-31T19:09:49,6159
sumpah_pemuda.txt,Sumpah Pemuda,kolonial,id.wikipedia.org,https://id.wikipedia.org/wiki/sumpah_pemuda,2026-08-31T19:13:18,607
sunan_gunung_jati.txt,Sunan Gunung Jati,kerajaan_islam,id.wikipedia.org,https://id.wikipedia.org/wiki/sunan_gunung_jati,2026-08-31T19:11:32,928
tarumanagara.txt,Tarumanagara,hindu_buddha,id.wikipedia.org,https://id.wikipedia.org/wiki/tarumanagara,2026-08-31T19:08:27,1549
tirtayasa_dari_banten.txt,Tirtayasa Dari Banten,kerajaan_islam,id.wikipedia.org,https://id.wikipedia.org/wiki/tirtayasa_dari_banten,2026-08-31T19:18:52,1439
wali_sanga.txt,Wali Sanga,kerajaan_islam,id.wikipedia.org,https://id.wikipedia.org/wiki/wali_sanga,2026-08-31T19:11:30,2320
zaman_batu.txt,Zaman Batu,prasejarah,id.wikipedia.org,https://id.wikipedia.org/wiki/zaman_batu,2026-08-31T19:14:30,309
zaman_logam.txt,Zaman Logam,prasejarah,id.wikipedia.org,https://id.wikipedia.org/wiki/zaman_logam,2026-08-31T19:14:36,554
